_SMB_DA_TOKEN_IDS_H_   
TOKEN_WOLBOOT_EN 0x008E  
TOKEN_WOLBOOT_DIS 0x008F  
TOKEN_CHASSIS_INTR_EN 0x0090  
TOKEN_CHASSIS_INTR_DIS 0x0091  
TOKEN_CHASSIS_INTR_ENS 0x0092  
TOKEN_PXE_NEXT_BOOT_EN 0x0093  
TOKEN_PXE_NEXT_BOOT_DIS 0x0094  
TOKEN_1394_EN 0x0095  
TOKEN_1394_DIS 0x0096  
TOKEN_PCI_SLOTS_EN 0x0097  
TOKEN_PCI_SLOTS_DIS 0x0098  
TOKEN_AGP_SLOTS_EN 0x0099  
TOKEN_AGP_SLOTS_DIS 0x009A  
TOKEN_USB_EMUL_EN 0x009B  
TOKEN_USB_EMUL_DIS 0x009C  
TOKEN_KYBD_RPRT_EN 0x009D  
TOKEN_KYBD_RPRT_DIS 0x009E  
TOKEN_PW_STATUS_LOCK_LOCK 0x009F  
TOKEN_PW_STATUS_LOCK_UNLOCK 0x00A0  
TOKEN_AC_PWR_REC_OFF 0x00A1  
TOKEN_AC_PWR_REC_LAST 0x00A2  
TOKEN_AC_PWR_REC_ON 0x00A3  
TOKEN_VGA_DAC_SNOOP_EN 0x00A4  
TOKEN_VGA_DAC_SNOOP_DIS 0x00A5  
TOKEN_PP_MODE_ECP_DMA1 0x00A6  
TOKEN_PP_MODE_ECP_DMA3 0x00A7  
TOKEN_BIS_ACCEPT 0x00A8  
TOKEN_BIS_DENY 0x00A9  
TOKEN_AGPAP_8M 0x00AA  
TOKEN_AGPAP_16M 0x00AB  
TOKEN_AGPAP_32M 0x00AC  
TOKEN_AGPAP_64M 0x00AD  
TOKEN_AGPAP_128M 0x00AE  
TOKEN_AGPAP_256M 0x00AF  
TOKEN_IOAPIC_EN 0x00B0  
TOKEN_IOAPIC_DIS 0x00B1  
TOKEN_BIS_RESET 0x00B2  
TOKEN_EMBEDDED_RAID_DIS 0x00B3  
TOKEN_EMBEDDED_RAID_RAID 0x00B4  
TOKEN_EMBEDDED_RAID_SCSI 0x00B5  
TOKEN_RAID_CHAN_A_RAID 0x00B6  
TOKEN_RAID_CHAN_A_SCSI 0x00B7  
TOKEN_RAID_CHAN_B_RAID 0x00B8  
TOKEN_RAID_CHAN_B_SCSI 0x00B9  
TOKEN_NIC_2_DIS 0x00BA  
TOKEN_NIC_2_EN_NO_PXE 0x00BB  
TOKEN_NIC_2_EN_W_PXE 0x00BC  
TOKEN_SYSTEM_FAN_FULL 0x00BD  
TOKEN_SYSTEM_FAN_LOW_NOISE 0x00BE  
TOKEN_CONSOLE_REDIRECT_DIS 0x00BF  
TOKEN_CONSOLE_REDIRECT_COM1 0x00C0  
TOKEN_POWER_BUTTON_EN 0x00C1  
TOKEN_POWER_BUTTON_DIS 0x00C2  
TOKEN_HT_ENABLE 0x00D1  
TOKEN_HT_DISABLE 0x00D2  
TOKEN_CPU_1_SPEED 0x00D3  
TOKEN_CPU_2_SPEED 0x00D4  
TOKEN_CPU_3_SPEED 0x00D5  
TOKEN_CPU_4_SPEED 0x00D6  
TOKEN_CONSOLE_REDIRECT_COM2 0x00D7  
TOKEN_DEFAULT_CMOS_EN 0x00D8  
TOKEN_DEFAULT_CMOS_DIS 0x00D9  
TOKEN_REDUNDANT_MEM_CAPABLE 0x00DA  
TOKEN_REDUNDANT_MEM_NONCAPABLE 0x00DB  
TOKEN_REDUNDANT_MEM_AVAILABLE 0x00DC  
TOKEN_REDUNDANT_MEM_LOST 0x00DD  
TOKEN_SINGLE_BYTE_ECC_LOG_DIS 0x00DE  
TOKEN_E_SUPPORT_SELECT 0x00E0  
